State,League,Club Name,Suburb,Primary,Secondary,Tertiary,HomeGround,Reputation,Wins,Losses,Draws,PointsFor,PointsAgainst
Victoria,VFL,Coburg,Coburg,Red,White,Blue,Piranha Park,63,0,0,0,0,0
Victoria,VFL,Frankston,Frankston,Navy,Gold,White,Frankston Oval,65,0,0,0,0,0
Victoria,VFL,Port Melbourne,Port Melbourne,Navy,Red,White,North Port Oval,78,0,0,0,0,0
Victoria,VFL,Sandringham,Sandringham,Red,Blue,White,Trevor Barker Beach Oval,74,0,0,0,0,0
Victoria,VFL,Werribee,Werribee,Navy,Gold,White,Chirnside Park,68,0,0,0,0,0
Victoria,VFL,Williamstown,Williamstown,Royal Blue,Red,White,Williamstown Oval,72,0,0,0,0,0
Queensland,VFL,Southport Sharks,Southport,Gold,Red,White,Fankhauser Reserve,70,0,0,0,0,0
Tasmania,VFL,Tasmania Devils,Launceston,Black,Red,White,UTAS Stadium,75,0,0,0,0,0
Queensland,VFL,Brisbane Lions VFL,Brisbane,Maroon,Gold,Navy,Brighton Homes Arena,76,0,0,0,0,0
Victoria,VFL,Carlton VFL,Carlton,Navy,White,Gold,IKON Park,77,0,0,0,0,0
Victoria,VFL,Collingwood VFL,Collingwood,Black,White,Gold,AIA Centre,79,0,0,0,0,0
Victoria,VFL,Essendon VFL,Essendon,Red,Black,White,The Hangar,78,0,0,0,0,0
Victoria,VFL,Footscray Bulldogs,Footscray,Red,White,Blue,Whitten Oval,80,0,0,0,0,0
Victoria,VFL,Geelong Cats VFL,Geelong,Navy,White,Gold,GMHBA Stadium,77,0,0,0,0,0
Queensland,VFL,Gold Coast Suns VFL,Gold Coast,Red,Gold,Navy,People First Stadium,72,0,0,0,0,0
New South Wales,VFL,GWS Giants VFL,Sydney,Orange,Charcoal,White,ENGIE Stadium,74,0,0,0,0,0
Victoria,VFL,North Melbourne VFL,Arden St,Royal Blue,White,Red,Arden Street Oval,75,0,0,0,0,0
Victoria,VFL,Richmond VFL,Richmond,Yellow,Black,White,Punt Road Oval,76,0,0,0,0,0
Victoria,VFL,St Kilda VFL,St Kilda,Red,Black,White,RSEA Park,74,0,0,0,0,0
New South Wales,VFL,Sydney Swans VFL,Sydney,Red,White,Gold,Tramway Oval,76,0,0,0,0,0
Victoria,VFL,Box Hill Hawks,Box Hill,Brown,Gold,White,Box Hill City Oval,73,0,0,0,0,0
Victoria,VFL,Casey Demons,Cranbourne,Red,Navy,White,Casey Fields,73,0,0,0,0,0
South Australia,SANFL,Adelaide,West Lakes,Red,Blue,Yellow,Oval Green,82,0,0,0,0,0
South Australia,SANFL,Central District,Elizabeth,Navy,Red,White,X Convenience Oval,74,0,0,0,0,0
South Australia,SANFL,Glenelg,Glenelg,Navy,Gold,White,Stratarama Stadium,78,0,0,0,0,0
South Australia,SANFL,North Adelaide,North Adelaide,Red,Black,White,Revo Fitness Oval,73,0,0,0,0,0
South Australia,SANFL,Norwood,Norwood,Red,Blue,White,Norwood Oval,80,0,0,0,0,0
South Australia,SANFL,Port Adelaide,Port Adelaide,Black,White,Teal,Alberton Oval,85,0,0,0,0,0
South Australia,SANFL,South Adelaide,Noarlunga,Red,Black,White,Magain Stadium,75,0,0,0,0,0
South Australia,SANFL,Sturt,Brighton,Navy,Gold,White,Thomas Farms Oval,77,0,0,0,0,0
South Australia,SANFL,West Adelaide,Thebarton,Red,Blue,White,Richmond Oval,74,0,0,0,0,0
South Australia,SANFL,Woodville-West Torrens,West Lakes,Gold,Black,White,Woodville Oval,72,0,0,0,0,0
Western Australia,WAFL,Claremont,Claremont,Navy,Gold,White,Revo Fitness Stadium,78,0,0,0,0,0
Western Australia,WAFL,East Fremantle,Fremantle,Red,Black,White,East Fremantle Oval,80,0,0,0,0,0
Western Australia,WAFL,East Perth,Perth,Red,Black,Yellow,Mineral Resources Park,79,0,0,0,0,0
Western Australia,WAFL,Peel Thunder,Mandurah,Navy,Gold,White,David Grays Arena,72,0,0,0,0,0
Western Australia,WAFL,Perth,Perth,Light Blue,Navy,White,Mineral Resources Park,75,0,0,0,0,0
Western Australia,WAFL,South Fremantle,Fremantle,Red,White,Black,Fremantle Oval,82,0,0,0,0,0
Western Australia,WAFL,Subiaco,Subiaco,Blue,Gold,White,Leederville Oval,81,0,0,0,0,0
Western Australia,WAFL,Swan Districts,Middle Swan,Black,Gold,White,Steel Blue Oval,74,0,0,0,0,0
Western Australia,WAFL,West Coast (R),Lathlain,Navy,Gold,White,Mineral Resources Park,76,0,0,0,0,0
Western Australia,WAFL,West Perth,Perth,Royal Blue,Gold,Red,Joondalup Arena,73,0,0,0,0,0
